ARTIKELNAME;Handelssprache;Lokaler Artikelname;Lieferantenartikelnummer;Lieferanten Firmenname;LIEFERANTENNUMMER;Bruttokaufpreis;Zu- und Abschläge Bezeichnung 1;Zu- und Abschläge Preisart 1;Zu- und Abschläge Wert 1;Zu- und Abschläge Bezeichnung 2;Zu- und Abschläge Preisart 2;Zu- und Abschläge Wert 2;Währung;Artikel-Mengeneinheit;Matchcode;Artikel aktiv;Preis-Eintritt;Warengruppen-Name;Warengruppen Beschreibung;Steuersatz;Zugehörigen Verkaufsartikel erstellen oder aktualisieren;Verkaufsartikel-Nummer;Bruttopreis des zugehörigen Verkaufsartikels;Verkaufsartikel-Währung;Vertriebsweg;Vertriebsweg-Steuersatz;Kurztext 1;Handelssprache;Lokalisierte Kurztext 1;Kurztext 2;Handelssprache;Lokalisierte Kurztext 2;Artikelbeschreibung;Handelssprache;Lokalisierte Artikelbeschreibung;Interner Hinweis;Handelssprache;Lokalisierter interner Hinweis;Artikel-Langbeschreibung;Handelssprache;Lokalisierte Lange Artikelbeschreibung;EAN-Nummer;MPN-Nummer;Artikeltyp;Serienartikel;Hersteller;Bruttogewicht;Nettogewicht;Zolltarifnummer;Länge Artikel;Breite Artikel;Höhe Artikel;Herstellertyp;Einführungsdatum;Sicherheitstage;Mindestlagerbestand;Zielbestand;Wiederbeschaffungstage;Durchschnittliche Lieferzeit;Mindestbestellmenge;Gebindemenge;Lieferantenbestand;Dropshipping möglich;In Dropshipping-Automatisierung ignorieren;Kostenstelle Verkauf;Kostenstelle Einkauf;Kostenart;Primäre Bezugsquelle
Biegbares Abschlussprofil Edelstahl (V2A, 304) natur 11 mm 250 cm;;;0902811099;Dural GmbH;10000;1,41;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 110-ZF, 250;;15.07.2026;;;;;020.020.0600;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 11 mm 250 cm;;;09028111;Dural GmbH;10000;2,38;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 110-SP, 250;;15.07.2026;;;;;020.020.0610;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur gebürstet 11 mm 250 cm;;;09028114;Dural GmbH;10000;1,71;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 110-SF, 250;;15.07.2026;;;;;020.020.0620;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 12,5 mm 250 cm;;;09028120;Dural GmbH;10000;1,50;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 125, 250;;15.07.2026;;;;;020.020.0630;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Edelstahl (V2A, 304) natur 12,5 mm 250 cm;;;0902812099;Dural GmbH;10000;1,50;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 125-ZF, 250;;15.07.2026;;;;;020.020.0640;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 12,5 mm 250 cm;;;09028121;Dural GmbH;10000;2,43;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 125-SP, 250;;15.07.2026;;;;;020.020.0650;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur gebürstet 12,5 mm 250 cm;;;09028122;Dural GmbH;10000;1,86;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 125-SF, 250;;15.07.2026;;;;;020.020.0660;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 14 mm 250 cm;;;09028140;Dural GmbH;10000;1,71;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 140, 250;;15.07.2026;;;;;020.020.0670;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 15 mm 250 cm;;;09028150;Dural GmbH;10000;1,76;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 150, 250;;15.07.2026;;;;;020.020.0680;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 15 mm 250 cm;;;090281500;Dural GmbH;10000;2,45;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 150-SP, 250;;15.07.2026;;;;;020.020.0690;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 20 mm 250 cm;;;09028200;Dural GmbH;10000;1,97;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 200, 250;;15.07.2026;;;;;020.020.0700;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 20 mm 250 cm;;;09028201;Dural GmbH;10000;2,64;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 200-SP, 250;;15.07.2026;;;;;020.020.0710;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 22 mm 250 cm;;;09028220;Dural GmbH;10000;2,02;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 220, 250;;15.07.2026;;;;;020.020.0720;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 22 mm 250 cm;;;09028221;Dural GmbH;10000;2,02;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 220-SP, 250;;15.07.2026;;;;;020.020.0730;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 25 mm 250 cm;;;09028250;Dural GmbH;10000;2,07;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 250, 250;;15.07.2026;;;;;020.020.0740;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 25 mm 250 cm;;;09028251;Dural GmbH;10000;3,62;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 250-SP, 250;;15.07.2026;;;;;020.020.0750;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 30 mm 250 cm;;;09028300;Dural GmbH;10000;27,66;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSE 300, 250;;15.07.2026;;;;;020.020.0760;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 30 mm 250 cm;;;09028301;Dural GmbH;10000;3,93;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 300-SP, 250;;15.07.2026;;;;;020.020.0770;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V4A, 316L) natur 250 cm;;;09048060;Dural GmbH;10000;19,82;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSE 60 V4A, 250;;15.07.2026;;;;;020.020.0780;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V4A, 316L) natur 8 mm 250 cm;;;09048080;Dural GmbH;10000;1,40;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 80 V4A, 250;;15.07.2026;;;;;020.020.0790;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V4A, 316L) natur 10 mm 250 cm;;;09048100;Dural GmbH;10000;1,35;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 100 V4A, 250;;15.07.2026;;;;;020.020.0800;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V4A, 316L) natur 12,5 mm 250 cm;;;09048120;Dural GmbH;10000;1,50;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 125 V4A, 250;;15.07.2026;;;;;020.020.0810;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Tropfkantenprofil Aluminium silber 12 mm 5 cm;;;09100000;Dural GmbH;10000;5,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;BKA 1000-XC, 1;;15.07.2026;;;;;050.010.0100;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 100 cm;;;09101060;Dural GmbH;10000;5,84;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 60, 100;;15.07.2026;;;;;020.020.0820;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 8 mm 100 cm;;;09101080;Dural GmbH;10000;5,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 80, 100;;15.07.2026;;;;;020.020.0830;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 9 mm 100 cm;;;09101090;Dural GmbH;10000;6,08;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 90, 100;;15.07.2026;;;;;020.020.0840;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 10 mm 100 cm;;;09101100;Dural GmbH;10000;6,22;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 100, 100;;15.07.2026;;;;;020.020.0850;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 11 mm 100 cm;;;09101110;Dural GmbH;10000;6,66;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 110, 100;;15.07.2026;;;;;020.020.0860;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 12,5 mm 100 cm;;;09101120;Dural GmbH;10000;6,94;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 125, 100;;15.07.2026;;;;;020.020.0870;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 15 mm 100 cm;;;09101150;Dural GmbH;10000;7,52;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 150, 100;;15.07.2026;;;;;020.020.0880;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Eckschutzprofil Aluminium natur 20 × 20 mm 300 cm;;;09102020;Dural GmbH;10000;7,3;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;WPA 2020, 300;;15.07.2026;;;;;020.080.0010;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 8 mm 300 cm;;;09102080;Dural GmbH;10000;5,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 80, 300;;15.07.2026;;;;;020.020.0890;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 9 mm 300 cm;;;09102090;Dural GmbH;10000;5,74;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 90, 300;;15.07.2026;;;;;020.020.0900;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 10 mm 300 cm;;;09102100;Dural GmbH;10000;5,84;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 100, 300;;15.07.2026;;;;;020.020.0910;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 11 mm 300 cm;;;09102110;Dural GmbH;10000;6,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 110, 300;;15.07.2026;;;;;020.020.0920;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 12,5 mm 300 cm;;;09102120;Dural GmbH;10000;6,22;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 125, 300;;15.07.2026;;;;;020.020.0930;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 15 mm 300 cm;;;09102150;Dural GmbH;10000;7,02;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 150, 300;;15.07.2026;;;;;020.020.0940;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Eckschutzprofil Aluminium natur 25 × 25 mm 300 cm;;;09102525;Dural GmbH;10000;9,12;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;WPA 2525, 300;;15.07.2026;;;;;020.080.0020;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Eckschutzprofil Aluminium natur 30 × 30 mm 300 cm;;;09103030;Dural GmbH;10000;13,72;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;WPA 3030, 300;;15.07.2026;;;;;020.080.0030;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Eckschutzprofil Aluminium natur 40 × 40 mm 300 cm;;;091040403;Dural GmbH;10000;19,62;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;WPA 4040, 300;;15.07.2026;;;;;020.080.0040;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 2 mm 250 cm;;;09108020;Dural GmbH;10000;5,02;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 20, 250;;15.07.2026;;;;;020.020.0950;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Aluminium natur 2 mm 250 cm;;;0910802099;Dural GmbH;10000;7,66;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 20-ZF, 250;;15.07.2026;;;;;020.020.0960;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 3 mm 250 cm;;;09108030;Dural GmbH;10000;5,12;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 30, 250;;15.07.2026;;;;;020.020.0970;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Aluminium natur 3 mm 250 cm;;;0910803099;Dural GmbH;10000;7,78;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 30-ZF, 250;;15.07.2026;;;;;020.020.0980;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 4,5 mm 250 cm;;;09108040;Dural GmbH;10000;5,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 45, 250;;15.07.2026;;;;;020.020.0990;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Aluminium natur 4,5 mm 250 cm;;;0910804099;Dural GmbH;10000;7,94;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 45-ZF, 250;;15.07.2026;;;;;020.020.1000;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 250 cm;;;09108060;Dural GmbH;10000;5,58;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 60, 250;;15.07.2026;;;;;020.020.1010;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Aluminium natur 250 cm;;;0910806099;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 60-ZF, 250;;15.07.2026;;;;;020.020.1020;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 8 mm 250 cm;;;09108080;Dural GmbH;10000;5,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 80, 250;;15.07.2026;;;;;020.020.1030;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Aluminium natur 8 mm 250 cm;;;0910808099;Dural GmbH;10000;8,48;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 80-ZF, 250;;15.07.2026;;;;;020.020.1040;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil mit breitem Auflageschenkel Aluminium natur 8 mm 250 cm;;;09108081;Dural GmbH;10000;6,5;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 80-L, 250;;15.07.2026;;;;;020.020.1050;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 9 mm 250 cm;;;09108090;Dural GmbH;10000;5,74;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 90, 250;;15.07.2026;;;;;020.020.1060;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 10 mm 250 cm;;;09108100;Dural GmbH;10000;5,84;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 100, 250;;15.07.2026;;;;;020.020.1070;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Aluminium natur 10 mm 250 cm;;;0910810099;Dural GmbH;10000;8,66;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 100-ZF, 250;;15.07.2026;;;;;020.020.1080;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 11 mm 250 cm;;;09108110;Dural GmbH;10000;6,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 110, 250;;15.07.2026;;;;;020.020.1090;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Aluminium natur 11 mm 250 cm;;;0910811099;Dural GmbH;10000;8,88;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 110-ZF, 250;;15.07.2026;;;;;020.020.1100;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 12,5 mm 250 cm;;;09108120;Dural GmbH;10000;6,22;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 125, 250;;15.07.2026;;;;;020.020.1110;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Aluminium natur 12,5 mm 250 cm;;;0910812099;Dural GmbH;10000;9,06;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 125-ZF, 250;;15.07.2026;;;;;020.020.1120;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 15 mm 250 cm;;;09108150;Dural GmbH;10000;7,02;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 150, 250;;15.07.2026;;;;;020.020.1130;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Aluminium natur 15 mm 250 cm;;;0910815099;Dural GmbH;10000;9,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 150-ZF, 250;;15.07.2026;;;;;020.020.1140;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 16,5 mm 250 cm;;;09108165;Dural GmbH;10000;7,64;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 165, 250;;15.07.2026;;;;;020.020.1150;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 18,5 mm 250 cm;;;09108180;Dural GmbH;10000;8,18;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 185, 250;;15.07.2026;;;;;020.020.1160;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Aluminium natur 18,5 mm 250 cm;;;0910818099;Dural GmbH;10000;10,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 185-ZF, 250;;15.07.2026;;;;;020.020.1170;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 20 mm 250 cm;;;09108200;Dural GmbH;10000;8,5;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 200, 250;;15.07.2026;;;;;020.020.1180;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Aluminium natur 20 mm 250 cm;;;0910820099;Dural GmbH;10000;10,7;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 200-ZF, 250;;15.07.2026;;;;;020.020.1190;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 22 mm 250 cm;;;09108220;Dural GmbH;10000;9;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 220, 250;;15.07.2026;;;;;020.020.1200;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Aluminium natur 22 mm 250 cm;;;0910822099;Dural GmbH;10000;11,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 220-ZF, 250;;15.07.2026;;;;;020.020.1210;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 25 mm 250 cm;;;09108250;Dural GmbH;10000;9,48;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 250, 250;;15.07.2026;;;;;020.020.1220;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Aluminium natur 25 mm 250 cm;;;0910825099;Dural GmbH;10000;11,42;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 250-ZF, 250;;15.07.2026;;;;;020.020.1230;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Aluminium natur 30 mm 250 cm;;;09108300;Dural GmbH;10000;10,5;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSA 300, 250;;15.07.2026;;;;;020.020.1240;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonabschlussprofil Aluminium silber eloxiert 100 × 53 mm;;;0911000053;Dural GmbH;10000;56,02;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;BLAE 530-X, 1;;15.07.2026;;;;;050.010.0110;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonabschlussprofil Aluminium silber eloxiert 100 × 65 mm;;;0911000065;Dural GmbH;10000;62,26;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;BLAE 650-X, 1;;15.07.2026;;;;;050.010.0120;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonabschlussprofil Aluminium silber eloxiert 80 × 53 mm 80 cm;;;0911000153;Dural GmbH;10000;22,2;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;BLAE 530-XC, 1;;15.07.2026;;;;;050.010.0130;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
