Prosema Artikelnummer,Kategorie,Lieferanten Firmenname,Artikelnr.,Beschreibung,PROSEMA Kurztext,PROSEMA Langtext,SEO Meta Title,SEO Meta Description,Fokus-Keyword,Shopify Tags,Datenstatus,Referenz (Matchcode),Hauptgruppe,Untergruppe,Produktfamilie,Grundmaterial,Oberfläche,Farbe,Breite mm,Länge cm,Höhe mm,Basiseinheitencode,Nettogewicht kg,Verpackung,GTIN (EAN-Nummer),Zolltarifnummer,Einkaufspreis EUR netto,"Verkaufspreis €, BE",Einkaufspreis Prosema,Verkaufspreis,Verkaufspreis o. Verkn.,Verkaufseinheit,Rabattkategorie_Lieferant,VPE 1,VPE 2,VPE 3,Lieferantennummer,Produktfoto 1
050.010.0010,600 Balkon.250 Edelstahl.0001,Dural GmbH,9020551,BWE 55-XC EDELSTAHL,"Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen. Das Profil unterstützt eine saubere Kantenausbildung und führt Wasser kontrolliert vom Belagsrand weg. Abmessung: 80 × 55 mm; Material: Edelstahl (V2A, 304); Farbe: silber; Artikelnummer: 09020551.","Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm | PROSEMA","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen.","Balkonwinkelprofil Edelstahl (V2A, 304)","Balkonwinkelprofil, Balkon, Terrasse, Edelstahl (V2A, 304), silber, 80 × 55 mm, Aussenbereich",PPDS 1.2 geprüft,"BWE 55-XC, 1",Balkon und Terrasse,Balkonwinkelprofile,DURABAL BW,Edelstahl V2A,[unbehandelt],Silber,80,,55,Stk.,"0,1",,4.01845E+12,72224050,,28.98,,,,"€, Stück",A,10,50,,10000,"https:, images.onetimepim.com, acc-90, images, 09020751_bwe_75_xc_verbinder_edelstahl.png"
050.010.0020,,Dural GmbH,09020552,BWE 55-X EDELSTAHL,"Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen. Das Profil unterstützt eine saubere Kantenausbildung und führt Wasser kontrolliert vom Belagsrand weg. Abmessung: 80 × 55 mm; Material: Edelstahl (V2A, 304); Farbe: silber; Artikelnummer: 09020552.","Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm | PROSEMA","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen.","Balkonwinkelprofil Edelstahl (V2A, 304)","Balkonwinkelprofil, Balkon, Terrasse, Edelstahl (V2A, 304), silber, 80 × 55 mm, Aussenbereich",PPDS 1.2 geprüft,"BWE 55-X, 1",Balkon und Terrasse,Balkonwinkelprofile,DURABAL BW,Edelstahl V2A,[unbehandelt],Silber,80,,55,Stk.,"0,1",,4018448052464,72224050,,40.58,,,,"€, Stück",A,10,50,,10000,"https:, images.onetimepim.com, acc-90, images, 09020752_bwe_75_x_innenecke_edelstahl.png"
050.010.0030,,Dural GmbH,09020751,BWE 75-XC EDELSTAHL,"Balkonwinkelprofil Edelstahl (V2A, 304) natur 80 × 75 mm","Balkonwinkelprofil aus Edelstahl (V2A, 304) natur für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen. Das Profil unterstützt eine saubere Kantenausbildung und führt Wasser kontrolliert vom Belagsrand weg. Abmessung: 80 × 75 mm; Material: Edelstahl (V2A, 304); Farbe: natur; Artikelnummer: 09020751.","Balkonwinkelprofil Edelstahl (V2A, 304) natur 80 × 75 mm | PROSEMA","Balkonwinkelprofil aus Edelstahl (V2A, 304) natur für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen.","Balkonwinkelprofil Edelstahl (V2A, 304)","Balkonwinkelprofil, Balkon, Terrasse, Edelstahl (V2A, 304), natur, 80 × 75 mm, Aussenbereich",PPDS 1.2 geprüft,"BWE 75-XC, 1",Balkon und Terrasse,Balkonwinkelprofile,DURABAL BW,Edelstahl V2A,[unbehandelt],Natur,80,,75,Stk.,"0,733",,4018448052563,72224050,,32.6,,,,"€, Stück",A,10,50,,10000,"https:, images.onetimepim.com, acc-90, images, 09020751_bwe_75_xc_verbinder_edelstahl.png"
050.010.0040,,Dural GmbH,09020752,BWE 75-X EDELSTAHL,"Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 75 mm","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen. Das Profil unterstützt eine saubere Kantenausbildung und führt Wasser kontrolliert vom Belagsrand weg. Abmessung: 80 × 75 mm; Material: Edelstahl (V2A, 304); Farbe: silber; Artikelnummer: 09020752.","Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 75 mm | PROSEMA","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen.","Balkonwinkelprofil Edelstahl (V2A, 304)","Balkonwinkelprofil, Balkon, Terrasse, Edelstahl (V2A, 304), silber, 80 × 75 mm, Aussenbereich",PPDS 1.2 geprüft,"BWE 75-X, 1",Balkon und Terrasse,Balkonwinkelprofile,DURABAL BW,Edelstahl V2A,[unbehandelt],Silber,80,,75,Stk.,"0,3",,4018448052471,72224050,,51,,,,"€, Stück",A,10,50,,10000,"https:, images.onetimepim.com, acc-90, images, 09020752_bwe_75_x_innenecke_edelstahl.png"
050.010.0050,,Dural GmbH,09020951,BWE 95-XC EDELSTAHL,"Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 95 mm","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen. Das Profil unterstützt eine saubere Kantenausbildung und führt Wasser kontrolliert vom Belagsrand weg. Abmessung: 80 × 95 mm; Material: Edelstahl (V2A, 304); Farbe: silber; Artikelnummer: 09020951.","Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 95 mm | PROSEMA","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen.","Balkonwinkelprofil Edelstahl (V2A, 304)","Balkonwinkelprofil, Balkon, Terrasse, Edelstahl (V2A, 304), silber, 80 × 95 mm, Aussenbereich",PPDS 1.2 geprüft,"BWE 95-XC, 1",Balkon und Terrasse,Balkonwinkelprofile,DURABAL BW,Edelstahl V2A,[unbehandelt],Silber,80,,95,Stk.,"0,2",,4018448052570,72224050,,36.74,,,,"€, Stück",A,10,50,,10000,"https:, images.onetimepim.com, acc-90, images, 09020751_bwe_75_xc_verbinder_edelstahl.png"
050.010.0060,,Dural GmbH,09020952,BWE 95-X EDELSTAHL,"Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 95 mm","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen. Das Profil unterstützt eine saubere Kantenausbildung und führt Wasser kontrolliert vom Belagsrand weg. Abmessung: 80 × 95 mm; Material: Edelstahl (V2A, 304); Farbe: silber; Artikelnummer: 09020952.","Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 95 mm | PROSEMA","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen.","Balkonwinkelprofil Edelstahl (V2A, 304)","Balkonwinkelprofil, Balkon, Terrasse, Edelstahl (V2A, 304), silber, 80 × 95 mm, Aussenbereich",PPDS 1.2 geprüft,"BWE 95-X, 1",Balkon und Terrasse,Balkonwinkelprofile,DURABAL BW,Edelstahl V2A,[unbehandelt],Silber,80,,95,Stk.,"0,3",,4018448052488,72224050,,57.42,,,,"€, Stück",A,10,50,,10000,"https:, images.onetimepim.com, acc-90, images, 09020752_bwe_75_x_innenecke_edelstahl.png"
020.020.0260,200 Profile.250 Edelstahl.0001,Dural GmbH,9021060,DSE 60 100 CM EDELSTAHL,"Abschlussprofil Edelstahl (V2A, 304) natur 6mm 100 cm","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 100 cm; Material: Edelstahl (V2A, 304); Farbe: natur; Artikelnummer: 09021060.","Abschlussprofil Edelstahl (V2A, 304) natur 100 cm | PROSEMA","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.","Abschlussprofil Edelstahl (V2A, 304)","Abschlussprofil, Fliesenprofil, Edelstahl (V2A, 304), natur, 100 cm, Wand, Boden",PPDS 1.2 geprüft,"DSE 60, 100",Profile,Abschlussprofile Winkel,DUROSOL,Edelstahl V2A,[unbehandelt],Natur,,100,6,lfm,"0,161",,4018448006337,72224050,,18.22,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dse_natural.jpg?v=2"
020.020.0270,,Dural GmbH,09021080,DSE 80 100 CM EDELSTAHL,"Abschlussprofil Edelstahl (V2A, 304) natur 8 mm 100 cm","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 8 mm 100 cm; Material: Edelstahl (V2A, 304); Farbe: natur; Artikelnummer: 09021080.","Abschlussprofil Edelstahl (V2A, 304) natur 8 mm 100 cm | PROSEMA","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.","Abschlussprofil Edelstahl (V2A, 304)","Abschlussprofil, Fliesenprofil, Edelstahl (V2A, 304), natur, 8 mm 100 cm, Wand, Boden",PPDS 1.2 geprüft,"DSE 80, 100",Profile,Abschlussprofile Winkel,DUROSOL,Edelstahl V2A,[unbehandelt],Natur,,100,8,lfm,"0,174",,4018448006344,72224050,,18.98,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dse_natural.jpg?v=2"
020.020.0280,,Dural GmbH,09021100,DSE 100 100 CM EDELSTAHL,"Abschlussprofil Edelstahl (V2A, 304) natur 10 mm 100 cm","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 10 mm 100 cm; Material: Edelstahl (V2A, 304); Farbe: natur; Artikelnummer: 09021100.","Abschlussprofil Edelstahl (V2A, 304) natur 10 mm 100 cm | PROSEMA","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.","Abschlussprofil Edelstahl (V2A, 304)","Abschlussprofil, Fliesenprofil, Edelstahl (V2A, 304), natur, 10 mm 100 cm, Wand, Boden",PPDS 1.2 geprüft,"DSE 100, 100",Profile,Abschlussprofile Winkel,DUROSOL,Edelstahl V2A,[unbehandelt],Natur,,100,10,lfm,"0,186",,4018448006351,72224050,,19.92,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dse_natural.jpg?v=2"
020.020.0290,,Dural GmbH,09021110,DSE 110 100 CM EDELSTAHL,"Abschlussprofil Edelstahl (V2A, 304) natur 11 mm 100 cm","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 11 mm 100 cm; Material: Edelstahl (V2A, 304); Farbe: natur; Artikelnummer: 09021110.","Abschlussprofil Edelstahl (V2A, 304) natur 11 mm 100 cm | PROSEMA","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.","Abschlussprofil Edelstahl (V2A, 304)","Abschlussprofil, Fliesenprofil, Edelstahl (V2A, 304), natur, 11 mm 100 cm, Wand, Boden",PPDS 1.2 geprüft,"DSE 110, 100",Profile,Abschlussprofile Winkel,DUROSOL,Edelstahl V2A,[unbehandelt],Natur,,100,11,lfm,"0,202",,4018448080948,72224050,,20.18,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dse_natural.jpg?v=2"
020.020.0300,,Dural GmbH,09021120,DSE 125 100 CM EDELSTAHL,"Abschlussprofil Edelstahl (V2A, 304) natur 12,5 mm 100 cm","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 12,5 mm 100 cm; Material: Edelstahl (V2A, 304); Farbe: natur; Artikelnummer: 09021120.","Abschlussprofil Edelstahl (V2A, 304) natur 12,5 mm 100 cm | PROSEMA","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.","Abschlussprofil Edelstahl (V2A, 304)","Abschlussprofil, Fliesenprofil, Edelstahl (V2A, 304), natur, 12,5 mm 100 cm, Wand, Boden",PPDS 1.2 geprüft,"DSE 125, 100",Profile,Abschlussprofile Winkel,DUROSOL,Edelstahl V2A,[unbehandelt],Natur,,100,"12,5",lfm,"0,202",,4018448006368,72224050,,20.46,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dse_natural.jpg?v=2"
020.020.0310,,Dural GmbH,09022060,DSE 60 300 CM EDELSTAHL,"Abschlussprofil Edelstahl (V2A, 304) natur 6mm 300 cm","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 6mm 300 cm; Material: Edelstahl (V2A, 304); Farbe: natur; Artikelnummer: 09022060.","Abschlussprofil Edelstahl (V2A, 304) natur 6mm 300 cm | PROSEMA","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.","Abschlussprofil Edelstahl (V2A, 304)","Abschlussprofil, Fliesenprofil, Edelstahl (V2A, 304), natur, 6mm 300 cm, Wand, Boden",PPDS 1.2 geprüft,"DSE 60, 300",Profile,Abschlussprofile Winkel,DUROSOL,Edelstahl V2A,[unbehandelt],Natur,,300,6,lfm,"0,161",,4018448006276,72224050,,16.9,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dse_natural.jpg?v=2"
020.020.0320,,Dural GmbH,09022080,DSE 80 300 CM EDELSTAHL,"Abschlussprofil Edelstahl (V2A, 304) natur 8 mm 300 cm","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 8 mm 300 cm; Material: Edelstahl (V2A, 304); Farbe: natur; Artikelnummer: 09022080.","Abschlussprofil Edelstahl (V2A, 304) natur 8 mm 300 cm | PROSEMA","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.","Abschlussprofil Edelstahl (V2A, 304)","Abschlussprofil, Fliesenprofil, Edelstahl (V2A, 304), natur, 8 mm 300 cm, Wand, Boden",PPDS 1.2 geprüft,"DSE 80, 300",Profile,Abschlussprofile Winkel,DUROSOL,Edelstahl V2A,[unbehandelt],Natur,,300,8,lfm,"0,174",,4018448006283,72224050,,17.5,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dse_natural.jpg?v=2"
020.020.0330,,Dural GmbH,09022090,DSE 90 300 CM EDELSTAHL,"Abschlussprofil Edelstahl (V2A, 304) natur 9 mm 300 cm","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 9 mm 300 cm; Material: Edelstahl (V2A, 304); Farbe: natur; Artikelnummer: 09022090.","Abschlussprofil Edelstahl (V2A, 304) natur 9 mm 300 cm | PROSEMA","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.","Abschlussprofil Edelstahl (V2A, 304)","Abschlussprofil, Fliesenprofil, Edelstahl (V2A, 304), natur, 9 mm 300 cm, Wand, Boden",PPDS 1.2 geprüft,"DSE 90, 300",Profile,Abschlussprofile Winkel,DUROSOL,Edelstahl V2A,[unbehandelt],Natur,,300,9,lfm,"0,442",,4018448021965,72224050,,18.02,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dse_natural.jpg?v=2"
020.020.0340,,Dural GmbH,09022100,DSE 100 300 CM EDELSTAHL,"Abschlussprofil Edelstahl (V2A, 304) natur 10 mm 300 cm","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 10 mm 300 cm; Material: Edelstahl (V2A, 304); Farbe: natur; Artikelnummer: 09022100.","Abschlussprofil Edelstahl (V2A, 304) natur 10 mm 300 cm | PROSEMA","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.","Abschlussprofil Edelstahl (V2A, 304)","Abschlussprofil, Fliesenprofil, Edelstahl (V2A, 304), natur, 10 mm 300 cm, Wand, Boden",PPDS 1.2 geprüft,"DSE 100, 300",Profile,Abschlussprofile Winkel,DUROSOL,Edelstahl V2A,[unbehandelt],Natur,,300,10,lfm,"0,186",,4018448006290,72224050,,18.46,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dse_natural.jpg?v=2"
020.020.0350,,Dural GmbH,09022110,DSE 110 300 CM EDELSTAHL,"Abschlussprofil Edelstahl (V2A, 304) natur 11 mm 300 cm","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 11 mm 300 cm; Material: Edelstahl (V2A, 304); Farbe: natur; Artikelnummer: 09022110.","Abschlussprofil Edelstahl (V2A, 304) natur 11 mm 300 cm | PROSEMA","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.","Abschlussprofil Edelstahl (V2A, 304)","Abschlussprofil, Fliesenprofil, Edelstahl (V2A, 304), natur, 11 mm 300 cm, Wand, Boden",PPDS 1.2 geprüft,"DSE 110, 300",Profile,Abschlussprofile Winkel,DUROSOL,Edelstahl V2A,[unbehandelt],Natur,,300,11,lfm,"0,202",,4018448021989,72224050,,18.7,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dse_natural.jpg?v=2"
020.020.0360,,Dural GmbH,09022120,DSE 125 300 CM EDELSTAHL,"Abschlussprofil Edelstahl (V2A, 304) natur 12,5 mm 300 cm","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 12,5 mm 300 cm; Material: Edelstahl (V2A, 304); Farbe: natur; Artikelnummer: 09022120.","Abschlussprofil Edelstahl (V2A, 304) natur 12,5 mm 300 cm | PROSEMA","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.","Abschlussprofil Edelstahl (V2A, 304)","Abschlussprofil, Fliesenprofil, Edelstahl (V2A, 304), natur, 12,5 mm 300 cm, Wand, Boden",PPDS 1.2 geprüft,"DSE 125, 300",Profile,Abschlussprofile Winkel,DUROSOL,Edelstahl V2A,[unbehandelt],Natur,,300,"12,5",lfm,"0,202",,4018448006306,72224050,,18.98,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dse_natural.jpg?v=2"
020.020.0370,,Dural GmbH,09022150,DSE 150 300 CM EDELSTAHL,"Abschlussprofil Edelstahl (V2A, 304) natur 15 mm 300 cm","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 15 mm 300 cm; Material: Edelstahl (V2A, 304); Farbe: natur; Artikelnummer: 09022150.","Abschlussprofil Edelstahl (V2A, 304) natur 15 mm 300 cm | PROSEMA","Abschlussprofil aus Edelstahl (V2A, 304) natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.","Abschlussprofil Edelstahl (V2A, 304)","Abschlussprofil, Fliesenprofil, Edelstahl (V2A, 304), natur, 15 mm 300 cm, Wand, Boden",PPDS 1.2 geprüft,"DSE 150, 300",Profile,Abschlussprofile Winkel,DUROSOL,Edelstahl V2A,[unbehandelt],Natur,,300,15,lfm,"0,215",,4018448006313,72224050,,20.18,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dse_natural.jpg?v=2"
050.010.0070,600 Balkon.250 Edelstahl.0007,Dural GmbH,09022155,BWE 55 300 CM EDELSTAHL,"Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm 300 cm","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen. Das Profil unterstützt eine saubere Kantenausbildung und führt Wasser kontrolliert vom Belagsrand weg. Abmessung: 80 × 55 mm 300 cm; Material: Edelstahl (V2A, 304); Farbe: silber; Artikelnummer: 09022155.","Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm 300 cm | PROS","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen.","Balkonwinkelprofil Edelstahl (V2A, 304)","Balkonwinkelprofil, Balkon, Terrasse, Edelstahl (V2A, 304), silber, 80 × 55 mm 300 cm, Aussenbereich",PPDS 1.2 geprüft,"BWE 55, 300",Balkon und Terrasse,Balkonwinkelprofile,DURABAL BW,Edelstahl V2A,[unbehandelt],Silber,80,300,55,lfm,2,,4018448052426,72224050,,47.44,,,,"€, lfm",A,5,40,,10000,"https:, images.onetimepim.com, acc-90, images, 09022155_durabal_bwe_55_300cm_edelstahl.png"
050.010.0080,,Dural GmbH,09022175,BWE 75 300 CM EDELSTAHL,"Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 75 mm 300 cm","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen. Das Profil unterstützt eine saubere Kantenausbildung und führt Wasser kontrolliert vom Belagsrand weg. Abmessung: 80 × 75 mm 300 cm; Material: Edelstahl (V2A, 304); Farbe: silber; Artikelnummer: 09022175.","Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 75 mm 300 cm | PROS","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen.","Balkonwinkelprofil Edelstahl (V2A, 304)","Balkonwinkelprofil, Balkon, Terrasse, Edelstahl (V2A, 304), silber, 80 × 75 mm 300 cm, Aussenbereich",PPDS 1.2 geprüft,"BWE 75, 300",Balkon und Terrasse,Balkonwinkelprofile,DURABAL BW,Edelstahl V2A,[unbehandelt],Silber,80,300,75,lfm,"0,733",,4018448052433,72224050,,53.56,,,,"€, lfm",A,5,40,,10000,"https:, images.onetimepim.com, acc-90, images, 09022175_durabal_bwe_75_300cm_edelstahl.png"
